iter	Passed	Remaining
0	236	236289
1	238	118778
2	239	79728
3	241	60054
4	242	48246
5	244	40435
6	247	35074
7	249	30931
8	250	27621
9	252	24971
10	254	22863
11	255	21051
12	257	19529
13	258	18209
14	263	17277
15	264	16289
16	266	15409
17	268	14628
18	269	13917
19	270	13268
20	272	12682
21	273	12148
22	275	11691
23	276	11243
24	277	10824
25	278	10441
26	279	10082
27	280	9751
28	282	9472
29	284	9186
30	285	8920
31	286	8672
32	288	8465
33	290	8253
34	292	8054
35	293	7860
36	295	7689
37	296	7513
38	298	7344
39	299	7186
40	301	7042
41	302	6910
42	304	6774
43	305	6640
44	306	6510
45	308	6388
46	309	6268
47	310	6154
48	311	6046
49	312	5942
50	315	5865
51	318	5799
52	319	5715
53	321	5624
54	322	5537
55	323	5452
56	325	5386
57	327	5319
58	328	5247
59	330	5177
60	332	5124
61	334	5059
62	335	4991
63	337	4928
64	338	4866
65	339	4802
66	340	4742
67	341	4683
68	342	4624
69	346	4602
70	349	4569
71	350	4516
72	351	4464
73	352	4414
74	353	4364
75	355	4319
76	357	4279
77	359	4247
78	363	4235
79	364	4194
80	365	4150
81	367	4108
82	367	4062
83	368	4023
84	370	3985
85	371	3946
86	372	3909
87	375	3888
88	377	3864
89	379	3835
90	381	3805
91	382	3772
92	383	3739
93	384	3706
94	386	3678
95	387	3653
96	390	3634
97	391	3606
98	393	3582
99	395	3555
100	396	3527
101	397	3499
102	398	3472
103	399	3444
104	400	3417
105	403	3399
106	405	3381
107	406	3358
108	408	3340
109	410	3317
110	411	3293
111	412	3270
112	413	3248
113	414	3224
114	415	3200
115	420	3202
116	421	3181
117	423	3163
118	424	3143
119	425	3122
120	426	3101
121	427	3079
122	429	3060
123	433	3060
124	438	3071
125	440	3057
126	442	3039
127	444	3025
128	445	3008
129	448	3002
130	450	2986
131	455	2992
132	456	2978
133	458	2963
134	460	2947
135	464	2948
136	469	2956
137	470	2940
138	472	2924
139	474	2912
140	475	2896
141	478	2893
142	481	2882
143	482	2870
144	484	2856
145	485	2842
146	487	2826
147	488	2810
148	489	2794
149	490	2779
150	494	2780
151	496	2771
152	498	2758
153	499	2744
154	500	2731
155	502	2716
156	503	2703
157	504	2689
158	506	2678
159	509	2672
160	509	2657
161	511	2643
162	512	2630
163	513	2617
164	514	2604
165	515	2591
166	516	2578
167	518	2565
168	519	2553
169	523	2554
170	524	2545
171	526	2533
172	527	2522
173	529	2511
174	530	2500
175	531	2489
176	533	2478
177	537	2480
178	538	2471
179	540	2460
180	542	2452
181	543	2442
182	544	2431
183	546	2422
184	547	2412
185	548	2401
186	550	2391
187	551	2383
188	553	2374
189	554	2365
190	556	2356
191	557	2346
192	559	2337
193	561	2333
194	563	2326
195	567	2328
196	569	2320
197	576	2334
198	579	2331
199	584	2338
200	587	2334
201	588	2325
202	591	2320
203	593	2315
204	595	2308
205	599	2311
206	601	2302
207	602	2293
208	604	2287
209	606	2281
210	608	2274
211	609	2266
212	618	2283
213	620	2278
214	622	2273
215	624	2265
216	626	2259
217	629	2259
218	631	2252
219	633	2245
220	634	2237
221	636	2230
222	638	2223
223	639	2216
224	643	2216
225	645	2211
226	647	2203
227	648	2197
228	651	2193
229	652	2185
230	655	2182
231	659	2181
232	660	2174
233	661	2166
234	663	2159
235	665	2152
236	666	2145
237	668	2139
238	669	2132
239	672	2128
240	674	2123
241	675	2115
242	676	2108
243	679	2104
244	680	2097
245	682	2092
246	684	2087
247	687	2083
248	688	2077
249	690	2070
250	691	2063
251	692	2056
252	694	2049
253	695	2043
254	697	2037
255	698	2030
256	700	2025
257	702	2019
258	703	2013
259	706	2010
260	709	2009
261	711	2004
262	713	1998
263	714	1992
264	716	1988
265	718	1982
266	719	1975
267	720	1968
268	722	1962
269	723	1956
270	725	1952
271	727	1945
272	728	1939
273	729	1933
274	732	1930
275	733	1925
276	736	1921
277	737	1915
278	739	1909
279	740	1904
280	741	1897
281	742	1891
282	744	1885
283	746	1881
284	747	1875
285	748	1869
286	750	1863
287	751	1857
288	752	1851
289	754	1846
290	755	1841
291	756	1835
292	758	1830
293	763	1833
294	766	1830
295	768	1827
296	770	1822
297	772	1818
298	773	1813
299	775	1808
300	777	1804
301	778	1800
302	780	1795
303	782	1791
304	783	1785
305	785	1780
306	786	1775
307	791	1778
308	793	1775
309	798	1776
310	799	1771
311	800	1765
312	802	1761
313	806	1762
314	808	1758
315	810	1754
316	811	1749
317	813	1744
318	815	1740
319	817	1736
320	822	1739
321	825	1739
322	827	1735
323	829	1730
324	830	1725
325	832	1722
326	836	1721
327	838	1717
328	840	1714
329	843	1711
330	844	1706
331	845	1701
332	848	1699
333	850	1695
334	851	1690
335	853	1686
336	854	1681
337	856	1676
338	857	1671
339	858	1667
340	860	1662
341	863	1661
342	865	1658
343	867	1654
344	869	1650
345	871	1646
346	872	1642
347	875	1640
348	879	1639
349	881	1636
350	882	1632
351	884	1627
352	886	1624
353	888	1621
354	889	1616
355	891	1612
356	894	1611
357	896	1607
358	900	1607
359	902	1603
360	903	1599
361	906	1597
362	910	1596
363	913	1596
364	915	1592
365	917	1588
366	919	1586
367	923	1585
368	928	1587
369	930	1584
370	933	1582
371	937	1582
372	939	1580
373	943	1578
374	945	1575
375	947	1571
376	948	1567
377	952	1567
378	955	1566
379	957	1562
380	959	1558
381	960	1554
382	962	1550
383	963	1545
384	968	1546
385	970	1543
386	972	1539
387	973	1535
388	974	1531
389	976	1527
390	977	1523
391	979	1518
392	984	1520
393	986	1516
394	987	1512
395	989	1508
396	990	1505
397	992	1500
398	993	1496
399	996	1494
400	998	1491
401	1000	1488
402	1002	1484
403	1003	1481
404	1006	1478
405	1020	1492
406	1025	1494
407	1034	1500
408	1036	1497
409	1038	1494
410	1040	1490
411	1045	1492
412	1047	1489
413	1050	1486
414	1056	1489
415	1059	1487
416	1061	1484
417	1069	1489
418	1071	1485
419	1074	1484
420	1076	1480
421	1081	1480
422	1083	1477
423	1086	1475
424	1093	1479
425	1097	1478
426	1099	1475
427	1101	1471
428	1105	1472
429	1108	1468
430	1110	1465
431	1112	1462
432	1114	1459
433	1117	1457
434	1121	1457
435	1127	1459
436	1131	1457
437	1141	1465
438	1147	1466
439	1152	1466
440	1157	1467
441	1159	1463
442	1162	1462
443	1172	1467
444	1175	1466
445	1186	1473
446	1189	1471
447	1212	1494
448	1217	1493
449	1219	1490
450	1221	1486
451	1222	1482
452	1225	1479
453	1237	1488
454	1240	1485
455	1243	1484
456	1247	1482
457	1249	1478
458	1251	1475
459	1253	1471
460	1254	1466
461	1256	1462
462	1259	1461
463	1261	1457
464	1263	1453
465	1264	1449
466	1266	1445
467	1267	1440
468	1268	1436
469	1271	1434
470	1274	1430
471	1276	1428
472	1278	1424
473	1279	1420
474	1281	1415
475	1282	1411
476	1283	1407
477	1284	1403
478	1287	1400
479	1290	1398
480	1292	1394
481	1293	1390
482	1295	1386
483	1297	1382
484	1298	1378
485	1301	1376
486	1303	1372
487	1306	1370
488	1308	1367
489	1310	1364
490	1312	1360
491	1316	1359
492	1319	1356
493	1321	1353
494	1322	1349
495	1324	1345
496	1325	1341
497	1327	1338
498	1332	1337
499	1333	1333
500	1335	1330
501	1338	1327
502	1339	1323
503	1342	1320
504	1343	1316
505	1346	1314
506	1349	1312
507	1351	1308
508	1352	1304
509	1355	1302
510	1357	1298
511	1358	1294
512	1361	1292
513	1363	1289
514	1364	1285
515	1367	1282
516	1368	1278
517	1370	1275
518	1372	1271
519	1373	1268
520	1377	1266
521	1378	1262
522	1381	1259
523	1382	1255
524	1384	1252
525	1386	1249
526	1387	1245
527	1388	1241
528	1392	1239
529	1393	1235
530	1394	1232
531	1396	1228
532	1397	1224
533	1398	1220
534	1400	1216
535	1401	1213
536	1402	1209
537	1403	1205
538	1406	1202
539	1407	1199
540	1410	1196
541	1412	1193
542	1414	1190
543	1415	1186
544	1417	1183
545	1418	1179
546	1421	1176
547	1422	1173
548	1425	1170
549	1426	1167
550	1428	1163
551	1431	1161
552	1433	1158
553	1436	1156
554	1438	1153
555	1440	1150
556	1444	1148
557	1446	1145
558	1447	1142
559	1452	1141
560	1454	1138
561	1455	1134
562	1457	1131
563	1459	1128
564	1460	1124
565	1461	1120
